CanonicalId,OntologyType,SourceId,SourceSystem
gfgzn6fa,Image,b28071190/FILE_0085_OBJECTS,mets-image
xn9ywwh8,Image,b21712025/FILE_0438_OBJECTS,mets-image
rmaefm6m,Image,b30513327/FILE_0012_OBJECTS,mets-image
p9fqyrkh,Work,b29347348,sierra-system-number
z8gn8c4q,Item,i13064769,sierra-system-number
jdvxfmd5,Image,b21442162/FILE_0021_OBJECTS,mets-image
wgkd587t,Image,b33020103/FILE_0368_OBJECTS,mets-image
ddmwd38y,Image,V0031525,miro-image-number
mc49hmqc,Image,b28057387/FILE_0535_OBJECTS,mets-image
nttw2mzj,Image,b2120651x/FILE_0210_OBJECTS,mets-image
w9n6f2jd,Image,b29166305/FILE_0007_OBJECTS,mets-image
rwryczwd,Image,b30542224/FILE_0006_OBJECTS,mets-image
sqatqd5w,Item,b23685694,sierra-system-number
scmrwu2e,Image,b2932161x/FILE_0078_OBJECTS,mets-image
pn2g6myj,Image,b21985996/FILE_0105_OBJECTS,mets-image
hrty29mr,Image,b22655281/FILE_0116_OBJECTS,mets-image
qqt7yhpb,Image,b18179782/FILE_0006_OBJECTS,mets-image
vj6gqmdu,Work,b1990588,sierra-system-number
krqxgw6g,Image,b1906553x/FILE_0032_OBJECTS,mets-image
qk8r5xfv,Image,b29300162/FILE_0026_OBJECTS,mets-image
